Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
alanine;alanine;alanine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;155793 ± 36291;161536 ± 43045;0,96;0,769;0,898;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1150;;
arabitol;arabitol;arabitol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;156 ± 141;147 ± 64;1,06;0,962;0,985;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1151;;
methioninesulfoxide;methioninesulfoxide;methioninesulfoxide;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;156 ± 50;178 ± 47;0,88;0,013;0,093;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1152;;
glycerol;glycerol;glycerol;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;15690 ± 6558;16511 ± 7616;0,95;0,639;0,892;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1153;;
beta-glycerolphosphate;beta-glycerolphosphate;beta-glycerolphosphate;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;157 ± 77;168 ± 56;0,938;0,27;0,572;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1154;;
palmitic acid;palmitic acid;palmitic acid;–;–;–;HMDB0000220;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;15732 ± 5220;13798 ± 4693;1,14;0,142;0,527;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1155;;
fructose;fructose;fructose;–;–;–;–;–;–;–;Carbohydrate;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1574 ± 1571;3463 ± 6621;0,46;0,242;0,618;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1156;;
urea;urea;urea;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;157412 ± 102363;196899 ± 84339;0,8;0,02;0,222;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1157;;
alanine;alanine;alanine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;157690 ± 42761;152525 ± 48794;1,034;0,492;0,785;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1158;;
isolinoleic acid;isolinoleic acid;isolinoleic acid;NIST;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;158 ± 94;131 ± 90;1,21;0,185;0,563;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1159;;
phenylalanine;phenylalanine;phenylalanine;–;–;–;HMDB0000159;–;–;–;Amino Acid;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;15844 ± 3491;13117 ± 2649;1,208;0;0,004;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1160;;
serine;serine;serine;–;–;–;HMDB0000187;–;–;–;–;–;106,0499;plasma;diagnosis;SCLC;–;20;–;–;–;healthy;20;–;–;–;LC;ESI;both;QTRAP;MS/MS;Analyst, MultiQuant;–;SIMCA-P;OPLS-DA, student’s t-test;159.17±48.86 ng/mL;64.38±23.19 ng/mL;4,9588307998;0,000000244;–;1,75;–;–;–;–;–;–;–;–;–;–;–;China;–;–;30473010;Yue et al. 2018;1161;;
PC(20:4/22:4);PC(20:4/22:4);PC(20:4/22:4);–;–;–;–;–;–;–;–;–;902,5857;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;both;Q-TOF;–;Analyst TF, XCMS ;–;SIMCA-P, MetaboAnalystR, SPSS ; Student’s t-test;159.63 ng/mL;165.79 ng/mL;0,9628445624;0,7;0,41;–;ROC curve;–;–;–;–;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;1162;;
serine;serine;serine;–;–;–;HMDB0000187;–;–;–;Amino Acid;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;15995 ± 5588;15703 ± 4964;1,02;0,908;0,973;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1163;;
lactic acid;lactic acid;lactic acid;–;–;–;HMDB0000190;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;160750 ± 77087;102355 ± 52346;1,571;0;0,001;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1164;;
pyruvic acid;pyruvic acid;pyruvic acid;–;–;–;HMDB0000243;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1608 ± 908;2162 ± 1352;0,74;0,066;0,343;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1165;;
octadecanol;octadecanol;octadecanol;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;161 ± 67;175 ± 62;0,92;0,246;0,577;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1166;;
proline;proline;proline;–;–;–;HMDB0000162;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I, II, III;90;58, 32;64 (48-86);current, non-smoker, unknown;healthy;63;41, 22;62 (43-78);smoker, non-smoker, unknown;LC;–;–;QTRAP;MS/MS;–;–;STATISTICA, MetaboAnalyst 3.0 web portal;t-test, Welch’s t-test or the Mann-Whitney U test, one-way ANOVA;161.39±50.88 ?M;183.31±65.84 ?M;0,88;0,0329;–;–;ROC curve analysis (Monte-Carlo cross validation), discriminant function analysis;–;0,602;–;–;–;–;–;–;–;–;Poland;–;MRM transitions for each amino acid and its corresponding internal standard;27597283;Klupczynska et al. 2016a;1167;;
tocopherol alpha;tocopherol alpha;tocopherol alpha;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1617 ± 1265;1430 ± 1238;1,13;0,353;0,734;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1168;;
inosine;inosine;inosine;–;–;–;HMDB0000195;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;163 ± 124;272 ± 152;0,6;0;0,011;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1169;;
cellobiotol;cellobiotol;cellobiotol;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;163 ± 157;111 ± 47;1,46;0,041;0,3;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1170;;
malic acid;malic acid;malic acid;–;–;–;HMDB0000156;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;163 ± 51;194 ± 258;0,84;0,888;0,958;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1171;;
PC(17:2/2:0);PC(17:2/2:0);PC(17:2/2:0);–;–;–;–;–;–;–;–;–;592,3214;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;both;Q-TOF;–;Analyst TF, XCMS ;–;SIMCA-P, MetaboAnalystR, SPSS ; Student’s t-test;163.47 ng/mL;340.06 ng/mL;0,4807092866;0,0000186;0,000638;–;ROC curve;–;"0.183 (0.078–0.288),
0.897 (0.818–0.975)
combination of down-regulated PCs";"66.7,
combination of down-regulated PCs: 90.0,
combination of 12 altered PCs: 100";"86.7,
combination of down-regulated PCs: 76.7,
combination of 12 altered PCs: 100";–;–;–;–;–;–;China;Y;–;29740076;Chen et al. 2018;1172;;
PC(18:0/18:2);PC(18:0/18:2);PC(18:0/18:2);–;–;–;–;–;–;–;–;–;830,5879;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;both;Q-TOF;–;Analyst TF, XCMS ;–;SIMCA-P, MetaboAnalystR, SPSS ; Student’s t-test;163154.58 ng/mL;176296.51 ng/mL;0,9254555294;0,28;0,22;–;ROC curve;–;–;–;–;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;1173;;
taurine;taurine;taurine;–;–;–;HMDB0000251;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1634 ± 889;1075 ± 1861;1,52;0;0,002;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1174;;
citric acid;citric acid;citric acid;–;–;–;HMDB0000094;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;16366 ± 5484;16040 ± 3981;1,02;0,748;0,904;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1175;;
tagatose;tagatose;tagatose;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1647 ± 972;2336 ± 974;0,705;0,001;0,016;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1176;;
erythrose;erythrose;erythrose;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;165 ± 70;190 ± 65;0,872;0,059;0,265;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1177;;
2-hydroxybutanoic acid;2-hydroxybutanoic acid;2-hydroxybutanoic acid;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;16545 ± 8851;12608 ± 6812;1,312;0,006;0,067;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1178;;
ethanolamine;ethanolamine;ethanolamine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1655 ± 2046;1058 ± 1210;1,564;0,085;0,324;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1179;;
cysteine;cysteine;cysteine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1659 ± 783;1843 ± 970;0,9;0,45;0,725;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1180;;
3-aminoisobutyric acid;3-aminoisobutyric acid;3-aminoisobutyric acid;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1662 ± 6037;670 ± 359;2,48;0,467;0,77;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1181;;
2-hydroxybutanoic acid;2-hydroxybutanoic acid;2-hydroxybutanoic acid;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;16636 ± 8787;14667 ± 9574;1,13;0,295;0,621;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1182;;
3-phosphoglycerate;3-phosphoglycerate;3-phosphoglycerate;–;–;–;–;–;–;–;Organic Acid;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;167 ± 237;108 ± 137;1,54;0,092;0,403;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1183;;
glucose;glucose;glucose;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;167237 ± 121193;199282 ± 136738;0,84;0,122;0,457;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1184;;
Pro;Pro;Pro;–;–;–;–;–;–;–;–;–;–;plasma;–;NSCLC;I, II, III, IV;141;93, 48;62.7 ± 9.2;former, current, non-smoker ;healthy;423;279, 144;61.1 ± 8.7;former, current, non-smoker;LC;ESI;positive ;quadrupole;–;Xcalibur ;–;Matlab; Mann-Whitney U-test, PCA;168 ± 43.6 μM;150.9±41.4 μM;1,1133200795;0,001;–;–;ROC curve;–;combination of 21 amino acid: 0.812;–;–;–;–;–;–;–;–;Japan;Y;–;21176209;Maeda et al. 2010;1185;;
uric acid;uric acid;uric acid;–;–;–;HMDB0000289;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;16800 ± 9460;16469 ± 11660;1,02;0,963;0,982;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1186;;
cGMP;cGMP;cGMP;–;–;–;–;–;–;–;–;–;346,0547;plasma;diagnosis;SCLC;–;20;–;–;–;healthy;20;–;–;–;LC;ESI;both;QTRAP;MS/MS;Analyst, MultiQuant;–;SIMCA-P;OPLS-DA, student’s t-test;16847.50±2023.57 ng/mL;14360.00±2034.44 ng/mL;3,2490095854;0,000117;–;1,4;–;–;–;–;–;–;–;–;–;–;–;China;–;–;30473010;Yue et al. 2018;1187;;
arabitol;arabitol;arabitol;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;169 ± 124;170 ± 55;1;0,275;0,604;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1188;;
xanthine;xanthine;xanthine;–;–;–;HMDB0000292;–;–;–;Nucleotide;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;169 ± 66;128 ± 43;1,32;0,005;0,117;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1189;;
kynurenine;kynurenine;kynurenine;–;–;–;HMDB0000684;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;169 ± 66;183 ± 130;0,926;0,574;0,853;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1190;;
tyrosine;tyrosine;tyrosine;–;–;–;HMDB0000158;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;16909 ± 5152;16995 ± 5330;1;0,802;0,928;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1191;;
methylhexadecanoic acid;methylhexadecanoic acid;methylhexadecanoic acid;–;–;–;HMDB0031067;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1691 ± 431;1776 ± 720;0,95;0,71;0,861;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1192;;
palmitoleic acid;palmitoleic acid;palmitoleic acid;–;–;–;HMDB0003229;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;43;21, 22;67.3 ± 10.10;–;healthy;43;21, 22;65.9 ± 8.05;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1698 ± 1260;1365 ± 1325;1,24;0,081;0,261;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1193;;
hypoxanthine;hypoxanthine;hypoxanthine;–;–;–;HMDB0000157;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1698 ± 819;1180 ± 725;1,44;0,002;0,092;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1194;;
PC(20:3/12:0);PC(20:3/12:0);PC(20:3/12:0);–;–;–;–;–;–;–;–;–;772,5085;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;both;Q-TOF;–;Analyst TF, XCMS ;–;SIMCA-P, MetaboAnalystR, SPSS ; Student’s t-test;170 ng/mL;112.85 ng/mL;1,5064244572;0,0135;0,0257;–;ROC curve;–;–;–;–;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;1195;;
ethanolamine;ethanolamine;ethanolamine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;adenocarcinoma;I, II, III, IV;49;17, 32;65.9 ± 9.87;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;1708 ± 1527;1555 ± 1348;1,1;0,822;0,936;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1196;;
glycerol;glycerol;glycerol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;52;17, 35;65.9 ± 9.66;–;healthy;31;11, 20;64.1 ± 8.97;–;GC;EI;–;TOF;–;–;UC Davis Metabolomics BinBase database;–;regress (by the covariates: age, gender and smoking history [packs per year]), permutation test;17099 ± 11268;13854 ± 5198;1,23;0,286;0,672;–;random forest;–;–;–;–;–;–;–;–;–;–;US;–;Pearson's correlation coefficients between metabolites;26282632;Fahrmann et al. 2015;1197;;
